STATUS,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,Labels,AGE
C,M,Y,Y,0.0,380250.0,Working,Higher education,Civil marriage,Rented apartment,-12005.0,-4542.0,1,0.0,0.0,10.0,2,32.89041096
1,M,Y,Y,0.0,380250.0,Working,Higher education,Civil marriage,Rented apartment,-12005.0,-4542.0,1,0.0,0.0,10.0,2,32.89041096
0,M,Y,Y,0.0,380250.0,Working,Higher education,Civil marriage,Rented apartment,-12005.0,-4542.0,1,0.0,0.0,10.0,2,32.89041096
X,M,Y,Y,0.0,380250.0,Working,Higher education,Civil marriage,Rented apartment,-12005.0,-4542.0,1,0.0,0.0,10.0,2,32.89041096
C,M,Y,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474.0,-1134.0,1,0.0,0.0,16.0,0,58.83287671
X,M,Y,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474.0,-1134.0,1,0.0,0.0,16.0,0,58.83287671
0,M,Y,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474.0,-1134.0,1,0.0,0.0,16.0,0,58.83287671
0,F,N,Y,0.0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110.0,-3051.0,1,0.0,0.0,14.0,0,52.35616438
X,F,N,Y,0.0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110.0,-3051.0,1,0.0,0.0,14.0,0,52.35616438
C,F,N,Y,0.0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110.0,-3051.0,1,0.0,0.0,14.0,0,52.35616438
